NO_UF,Indice_infra,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_MED,QT_MAT_PROF,QT_MAT_INF_INT,QT_MAT_INF_CRE_INT,QT_MAT_INF_PRE_INT,QT_MAT_FUND_INT,QT_MAT_MED_INT,ano
['Bahia'],0.33921276816495577,['BA'],[29],['Andaraí'],[2901304],4707.0,312.0,0.0,312.0,3256.0,674.0,0.0,0.0,0.0,0.0,121.0,32.0,['2010']
['Ceará'],0.3259595043861747,['CE'],[23],['Antonina do Norte'],[2300804],2253.0,362.0,158.0,204.0,1549.0,312.0,0.0,0.0,0.0,0.0,1.0,10.0,['2010']
['Sergipe'],0.5005757592721807,['SE'],[28],['Arauá'],[2800407],3834.0,526.0,84.0,442.0,2248.0,726.0,144.0,0.0,0.0,0.0,0.0,383.0,['2010']
['Piauí' 'Alagoas'],0.29319657614620936,['PI' 'AL'],[22 27],['Batalha'],[2201507 2700706],13761.0,1708.0,546.0,1162.0,8637.0,1713.0,0.0,0.0,0.0,0.0,2.0,0.0,['2010']
['Maranhão'],0.22952328168135197,['MA'],[21],['Benedito Leite'],[2101806],1521.0,265.0,0.0,265.0,861.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,['2010']
['Maranhão'],0.37281440898233154,['MA'],[21],['Boa Vista do Gurupi'],[2101970],2928.0,682.0,0.0,682.0,1526.0,454.0,33.0,0.0,0.0,0.0,0.0,0.0,['2010']
['Bahia'],0.3662521579499935,['BA'],[29],['Boninal'],[2904001],3693.0,316.0,0.0,316.0,2547.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,['2010']
['Sergipe'],0.500264521495414,['SE'],[28],['Boquim'],[2800670],6948.0,811.0,236.0,575.0,4385.0,990.0,212.0,0.0,0.0,0.0,0.0,0.0,['2010']
['Bahia'],0.25892468316753003,['BA'],[29],['Buerarema'],[2904704],5071.0,393.0,0.0,393.0,3367.0,677.0,18.0,0.0,0.0,0.0,0.0,0.0,['2010']
['Piauí'],0.4470963936925446,['PI'],[22],['Cajueiro da Praia'],[2202083],2305.0,320.0,0.0,320.0,1571.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,['2010']
['Piauí'],0.19655569039065193,['PI'],[22],['Campinas do Piauí'],[2202109],1924.0,312.0,140.0,172.0,1152.0,164.0,34.0,0.0,0.0,0.0,12.0,0.0,['2010']
['Bahia'],0.271420193642927,['BA'],[29],['Caém'],[2905107],3329.0,513.0,170.0,343.0,2215.0,384.0,0.0,170.0,170.0,0.0,0.0,0.0,['2010']
['Sergipe'],0.4247487786517103,['SE'],[28],['Cristinápolis'],[2801702],5683.0,908.0,33.0,875.0,3817.0,549.0,86.0,69.0,33.0,36.0,1.0,0.0,['2010']
['Paraíba'],0.31292688392715984,['PB'],[25],['Dona Inês'],[2505709],2998.0,216.0,45.0,171.0,2042.0,565.0,0.0,45.0,45.0,0.0,1.0,0.0,['2010']
['Sergipe'],0.5225932813175451,['SE'],[28],['Estância'],[2802106],17826.0,2019.0,541.0,1478.0,11033.0,2221.0,168.0,541.0,541.0,0.0,1.0,0.0,['2010']
